ID,name,sq.km,left,right,top,bottom,width,height,center.x,center.y
45,S Douglas,28.04,-129.245224,-129.1563034,53.43060576,53.36899151,0.088920593,0.061614245,-129.2007637,53.39979863
46,S Verney,16.1,-129.1559601,-129.0787125,53.42733283,53.36919636,0.07724762,0.058136468,-129.1173363,53.39826459
47,N Ursula,39.73,-129.0042114,-128.823967,53.50458848,53.40502928,0.180244446,0.099559207,-128.9140892,53.45480888
48,N Grenville,25.56,-129.6160126,-129.3873596,53.57293833,53.42712826,0.228652954,0.145810067,-129.5016861,53.50003329
49,Central Verney,20.99,-129.1559601,-129.0042114,53.50458848,53.42753739,0.151748657,0.077051093,-129.0800858,53.46606294
50,Central Douglas,46.45,-129.2448807,-129.1655731,53.53071727,53.43060576,0.079307556,0.100111515,-129.2052269,53.48066151
51,Douglas tributary,4.76,-129.3561172,-129.245224,53.5808883,53.49989176,0.11089325,0.080996542,-129.3006706,53.54039003
52,N Douglas,56.23,-129.245224,-129.1648865,53.64992898,53.5305132,0.080337524,0.11941578,-129.2050552,53.59022109
53,N Verney,33.42,-129.0958786,-128.9434433,53.58741024,53.50458848,0.152435303,0.082821758,-129.0196609,53.54599936
54,Gardner Entrance,61.24,-128.9431,-128.7848282,53.63140702,53.52561526,0.15827179,0.105791765,-128.8639641,53.57851114
