,block,sta,mode,lat,long,color,dist2next,tlen,dist.nm,dist.km
83,WHA,8,stout,53.27533333,-129.1666667,black,1.72981642,0.86490821,2.386066204,4.418994609
84,WHA,9,lite,53.30986,-129.1680967,blue,NA,NA,NA,NA
85,WRI,1,lite,53.25,-129.3152,blue,4.782882725,2.391441363,3.146991176,5.828227658
86,WRI,2,stout,53.29070333,-129.2810067,black,6.500525845,3.250262922,3.214094949,5.952503845
87,WRI,3,stout,53.32712667,-129.3294467,black,3.110984444,1.555492222,2.321210023,4.298880962
88,WRI,4,lite,53.35845,-129.30909,blue,7.7863427,3.89317135,2.304412466,4.267771886
89,WRI,5,stout,53.34289167,-129.2596617,blue,7.7863427,3.89317135,2.305074468,4.268997916
90,WRI,6,stout,53.32733333,-129.2102333,black,7.882988373,3.941494186,2.38067602,4.409011989
91,WRI,7,stout,53.35072,-129.1678467,black,4.734172807,2.367086403,2.749366971,5.091827629
92,WRI,8,stout,53.37956667,-129.21379,black,3.907471592,1.953735796,2.311879825,4.281601435
93,WRI,9,stout,53.40996667,-129.1903333,black,2.838589719,1.419294859,2.326422236,4.308533982
94,WRI,10,lite,53.44223333,-129.2065,blue,NA,NA,NA,NA
95,VER,1,stout,53.37696667,-129.1683333,black,3.762257876,1.881128938,1.820313928,3.371221395
96,VER,2,stout,53.38996667,-129.1299099,black,3.762257876,1.881128938,2.042386145,3.78249914
97,VER,3,lite,53.41916667,-129.1221667,blue,7.378018872,3.689009436,2.064335631,3.823149589
98,VER,4,stout,53.43197333,-129.07686,black,2.930275174,1.465137587,2.351974454,4.355856688
99,VER,5,stout,53.46601367,-129.0760467,black,2.267655239,1.133827619,2.072431562,3.838143252
100,VER,6,lite,53.496009,-129.0766567,blue,7.908881023,3.954440511,2.048966548,3.794686047
101,VER,7,stout,53.52372333,-129.0589,black,2.320250793,1.160125397,2.478409881,4.5900151
102,VER,8,stout,53.5449922,-129.0102933,black,5.008324319,2.50416216,2.330943767,4.316907856
103,VER,9,lite,53.51603333,-128.9811667,blue,3.18771197,1.593855985,1.747574956,3.236508819
104,VER,10,stout,53.49074,-128.981707,black,NA,NA,1.796725963,3.327536484
105,VER,11,stout,53.46474,-128.980707,black,NA,NA,1.915055187,3.546682206
106,VER,12,stout,53.445774,-128.9467571,black,NA,NA,NA,NA
