PID,POS,X,Y,block
1,1,-129.297752380371,52.7533342026281,1
1,2,-129.303245544434,52.7581132322588,1
1,3,-129.302215576172,52.763722728469,1
1,4,-129.306335449219,52.7695392206731,1
1,5,-129.303245544434,52.7766010595367,1
1,6,-129.294319152832,52.7807545472805,1
1,7,-129.284706115723,52.7832464496713,1
1,8,-129.278869628906,52.7886450820259,1
1,9,-129.27921295166,52.7936278404684,1
1,10,-129.284362792969,52.7984024484565,1
1,11,-129.287796020508,52.8033840893204,1
1,12,-129.294662475586,52.8116855560238,1
1,13,-129.293632507324,52.8154206989343,1
1,14,-129.322128295898,52.8154206989343,1
1,15,-129.320411682129,52.806704866207,1
1,16,-129.323501586914,52.8046294103731,1
1,17,-129.323501586914,52.7992327615626,1
1,18,-129.328308105469,52.7998554859895,1
1,19,-129.328308105469,52.8040067543048,1
1,20,-129.336891174316,52.800063058817,1
1,21,-129.341011047363,52.8023462945324,1
1,22,-129.344444274902,52.8035916453058,1
1,23,-129.345474243164,52.8058746957615,1
1,24,-129.348220825195,52.8042143073183,1
1,25,-129.349250793457,52.8077425569742,1
1,26,-129.351654052734,52.8100253894853,1
1,27,-129.354400634766,52.812930639322,1
1,28,-129.357833862305,52.8137606750422,1
1,29,-129.361610412598,52.8131381497379,1
1,30,-129.364356994629,52.8121005877523,1
1,31,-129.362297058105,52.8081576263465,1
1,32,-129.353713989258,52.806704866207,1
1,33,-129.349250793457,52.8033840893204,1
1,34,-129.352684020996,52.7998554859895,1
1,35,-129.355773925781,52.804421859341,1
1,36,-129.360237121582,52.8060822398589,1
1,37,-129.365043640137,52.8079500921557,1
1,38,-129.366760253906,52.8112705203328,1
1,39,-129.36882019043,52.8143831914311,1
1,40,-129.479370117188,52.8154206989343,1
1,41,-129.480743408203,52.8143831914311,1
1,42,-129.481430053711,52.7531264068373,1
1,43,-129.391479492188,52.7535419974279,1
1,44,-129.393539428711,52.7568665794253,1
1,45,-129.398345947266,52.7595676154683,1
1,46,-129.392852783203,52.7597753805338,1
1,47,-129.389419555664,52.7576976852788,1
1,48,-129.384613037109,52.7562432396282,1
1,49,-129.377403259277,52.7599831446081,1
1,50,-129.380149841309,52.7645537034972,1
1,51,-129.382209777832,52.7689160622437,1
1,52,-129.385299682617,52.7720317651998,1
1,53,-129.392166137695,52.7768087433378,1
1,54,-129.387359619141,52.7790931997475,1
1,55,-129.389419555664,52.7826234874507,1
1,56,-129.389762878418,52.7886450820259,1
1,57,-129.390106201172,52.7919669843991,1
1,58,-129.386672973633,52.7944582447241,1
1,59,-129.383926391602,52.7919669843991,1
1,60,-129.386329650879,52.7892679580419,1
1,61,-129.386329650879,52.7846999935053,1
1,62,-129.385643005371,52.781792857284,1
1,63,-129.379806518555,52.7832464496713,1
1,64,-129.379806518555,52.7799238814413,1
1,65,-129.377403259277,52.7768087433378,1
1,66,-129.374313354492,52.7780548253344,1
1,67,-129.374656677246,52.783661752864,1
1,68,-129.370536804199,52.7778471474789,1
1,69,-129.367790222168,52.7780548253344,1
1,70,-129.365043640137,52.7770164261479,1
1,71,-129.364356994629,52.7815851972651,1
1,72,-129.357147216797,52.7824158313954,1
1,73,-129.359550476074,52.7888527083554,1
1,74,-129.356803894043,52.7900984455249,1
1,75,-129.364013671875,52.7938354430185,1
1,76,-129.360580444336,52.7959114140269,1
1,77,-129.355087280273,52.7932126323958,1
1,78,-129.355087280273,52.7898908251404,1
1,79,-129.349250793457,52.7888527083554,1
