PID,POS,X,Y
1,1,-128.688282697982,53.9941542627547
1,2,-128.683197529101,53.9764861442486
1,3,-128.690334042503,53.9548634780582
1,4,-128.698994836706,53.936469632328
1,5,-128.711050787523,53.9196733651899
1,6,-128.737285101641,53.8999889700412
1,7,-128.762206331231,53.8793139717453
1,8,-128.781641598644,53.8595413293262
1,9,-128.81172247231,53.8357082341742
1,10,-128.843702707668,53.8133375832312
1,11,-128.880249941929,53.793963302478
1,12,-128.910847693696,53.7776646945685
1,13,-128.938935812778,53.7624903290753
1,14,-128.983113797286,53.7461282359362
1,15,-129.028007150143,53.7326655751663
1,16,-129.059587534379,53.7181975089185
1,17,-129.080257335169,53.7091133209004
1,18,-129.108210490123,53.6903837225718
1,19,-129.139924728907,53.6608595980228
1,20,-129.174158180122,53.6439209387164
1,21,-129.196600521763,53.6296420262436
1,22,-129.206622623342,53.6175392782539
1,23,-129.21213769882,53.6055442460952
1,24,-129.214712212853,53.582695511143
1,25,-129.209490787301,53.5410999343207
1,26,-129.209107011452,53.4967617974164
1,27,-129.208733660498,53.4630693728046
1,28,-129.204526918275,53.4051740926653
1,29,-129.193481880707,53.365802990384
1,30,-129.194037674585,53.3525486004037
1,31,-129.203181384475,53.3372709067732
1,32,-129.212864480396,53.3335584906429
1,33,-129.221176027058,53.3328469079752
1,34,-129.242276090446,53.3348570840897
1,35,-129.262925393716,53.3390454563193
1,36,-129.285861643394,53.339407691633
1,37,-129.296553617682,53.3379771581393
1,38,-129.30495260614,53.329725108109
1,39,-129.307133832362,53.3192403072774
1,40,-129.304473993321,53.3067422171285
1,41,-129.295490453224,53.2927822403324
1,42,-129.28944440426,53.2825863366613
1,43,-129.289329281107,53.2723882144372
1,44,-129.293771999744,53.261642889601
1,45,-129.30924376411,53.2512724219227
1,46,-129.324339847632,53.2391006532277
1,47,-129.333977716635,53.2318395371304
1,48,-129.348526813622,53.2222820631768
1,49,-129.358710164958,53.2159447162217
1,50,-129.375544694373,53.209651321775
1,51,-129.393525891988,53.1941361050883
1,52,-129.399370956839,53.1764013727474
1,53,-129.389870295049,53.1433621860579
1,54,-129.368043450804,53.1165016698024
1,55,-129.346068615935,53.0939849986598
1,56,-129.317754808343,53.0737097964857
1,57,-129.293941989131,53.0604173434623
1,58,-129.268141639369,53.039000080548
1,59,-129.259138553645,53.0183952254508
1,60,-129.252499471145,52.9970826258434
1,61,-129.253295000538,52.9789848998306
1,62,-129.2581558084,52.9554339119407
1,63,-129.263732835635,52.9283903529935
1,64,-129.273842943253,52.9149711949272
1,65,-129.295072939363,52.9045937739409
1,66,-129.316945921228,52.9017910482297
1,67,-129.363865084974,52.898620753826
1,68,-129.404016222052,52.8962587984016
1,69,-129.447520039963,52.8919076040053
1,70,-129.610660652977,52.8668363765885
1,71,-129.742150342062,52.8541680578639
1,72,-130.116301358107,52.8180603308414
1,73,-130.581100112741,52.788062927111
2,1,-129.371869802457,53.2103993558807
2,2,-129.376637446682,53.2091979600803
2,3,-129.411698037989,53.2042231288243
2,4,-129.436381856765,53.2023624876814
2,5,-129.475804698796,53.1998468521629
2,6,-129.50838448127,53.1976062628721
2,7,-129.536050982711,53.1957787466228
2,8,-129.563616036747,53.1933738142081
2,9,-129.578019633393,53.1891543606949
2,10,-129.595693664424,53.184408390081
2,11,-129.605910181657,53.1783753105043
2,12,-129.619181346787,53.1697029670802
2,13,-129.621332897489,53.1560885471059
2,14,-129.617508333781,53.1408216894391
2,15,-129.608638957774,53.1258718402798
2,16,-129.583601747847,53.1078150047399
2,17,-129.56963721056,53.0943398165921
2,18,-129.557028375563,53.0825267797577
2,19,-129.533739074174,53.0659532775498
2,20,-129.510099970915,53.049081289988
2,21,-129.48981886297,53.0337030833536
2,22,-129.474086218069,53.0172059033754
2,23,-129.446336121316,52.9948188405188
2,24,-129.419780393502,52.9673875554276
2,25,-129.404096179073,52.9479077106809
2,26,-129.395202554796,52.9316242066768
2,27,-129.400938543481,52.9178632231599
2,28,-129.405198464825,52.9095292447928
2,29,-129.426838311473,52.9000867171836
2,30,-129.452977740843,52.8940019629008
2,31,-129.486586668004,52.8888581962137
2,32,-129.507232634711,52.88279009498
3,1,-129.563427122291,53.1926555599109
3,2,-129.60334509852,53.1896498959117
3,3,-129.624297170951,53.1907688209635
3,4,-129.643682251824,53.1949860094149
3,5,-129.666440945234,53.2032364062158
3,6,-129.69051606783,53.2203819874223
3,7,-129.715319118209,53.2438866580731
3,8,-129.731605160753,53.2609796945057
3,9,-129.745777546757,53.2900913248781
3,10,-129.767862864582,53.3108295812247
3,11,-129.786982513456,53.3265424636357
3,12,-129.807802035987,53.3446164313651
3,13,-129.831155487364,53.3643852457412
3,14,-129.862214160284,53.3841650736171
3,15,-129.892764429405,53.4068759827712
3,16,-129.919647422653,53.430914357462
3,17,-129.955484383353,53.4460309550065
3,18,-129.9981920323,53.4696701608157
3,19,-130.038200042921,53.4909203312441
3,20,-130.064483176217,53.5104486686548
3,21,-130.103978429192,53.5302442183896
3,22,-130.183972414459,53.5550838006306
3,23,-130.234164571454,53.5760517480714
3,24,-130.29731642485,53.5937780683343
3,25,-130.386576582178,53.6255541651996
3,26,-130.451425084856,53.646614605287
3,27,-130.501606713733,53.6622029216315
3,28,-131.234763662866,53.9586543583934
3,29,-131.260365672787,53.9823210707173
3,30,-131.307464272706,54.0565892993381
3,31,-131.393625642998,54.2073077330571
3,32,-131.518571389211,54.4202445975203
